date,part_id,category,size,manufacturer,opening_stock,arrival_today,planned_usage,used_actual,unmet_usage,closing_stock,pending_inbound_before_order,order_qty_requested,order_qty_effective,lead_time_days,unit_price,monthly_discount,shipping_fee,region_fee,total_cost
2022-01-01,31,Capacitor,1008,samsung,7000,0,90,90,0,6910,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-02,31,Capacitor,1008,samsung,6910,0,127,127,0,6783,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-03,31,Capacitor,1008,samsung,6783,0,127,127,0,6656,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-04,31,Capacitor,1008,samsung,6656,0,107,107,0,6549,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-05,31,Capacitor,1008,samsung,6549,0,86,86,0,6463,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-06,31,Capacitor,1008,samsung,6463,0,119,119,0,6344,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-07,31,Capacitor,1008,samsung,6344,0,99,99,0,6245,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-08,31,Capacitor,1008,samsung,6245,0,45,45,0,6200,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-09,31,Capacitor,1008,samsung,6200,0,168,168,0,6032,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-10,31,Capacitor,1008,samsung,6032,0,136,136,0,5896,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-11,31,Capacitor,1008,samsung,5896,0,181,181,0,5715,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-12,31,Capacitor,1008,samsung,5715,0,103,103,0,5612,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-13,31,Capacitor,1008,samsung,5612,0,103,103,0,5509,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-14,31,Capacitor,1008,samsung,5509,0,78,78,0,5431,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-15,31,Capacitor,1008,samsung,5431,0,140,140,0,5291,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-16,31,Capacitor,1008,samsung,5291,0,156,156,0,5135,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-17,31,Capacitor,1008,samsung,5135,0,78,78,0,5057,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-18,31,Capacitor,1008,samsung,5057,0,103,103,0,4954,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-19,31,Capacitor,1008,samsung,4954,0,94,94,0,4860,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-20,31,Capacitor,1008,samsung,4860,0,66,66,0,4794,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-21,31,Capacitor,1008,samsung,4794,0,78,78,0,4716,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-22,31,Capacitor,1008,samsung,4716,0,49,49,0,4667,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-23,31,Capacitor,1008,samsung,4667,0,99,99,0,4568,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-24,31,Capacitor,1008,samsung,4568,0,74,74,0,4494,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-25,31,Capacitor,1008,samsung,4494,0,74,74,0,4420,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-26,31,Capacitor,1008,samsung,4420,0,111,111,0,4309,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-27,31,Capacitor,1008,samsung,4309,0,66,66,0,4243,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-28,31,Capacitor,1008,samsung,4243,0,45,45,0,4198,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-29,31,Capacitor,1008,samsung,4198,0,82,82,0,4116,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-30,31,Capacitor,1008,samsung,4116,0,94,94,0,4022,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-01-31,31,Capacitor,1008,samsung,4022,0,127,127,0,3895,0,0,0,1,16.8,0.1887,0.0,0.0,0.0
2022-02-01,31,Capacitor,1008,samsung,3895,0,107,107,0,3788,0,0,0,1,16.8,0.1047,0.0,0.0,0.0
2022-02-02,31,Capacitor,1008,samsung,3788,0,164,164,0,3624,0,0,0,1,16.8,0.1047,0.0,0.0,0.0
2022-02-03,31,Capacitor,1008,samsung,3624,0,103,103,0,3521,0,0,0,1,16.8,0.1047,0.0,0.0,0.0
2022-02-04,31,Capacitor,1008,samsung,3521,0,78,78,0,3443,0,0,0,1,16.8,0.1047,0.0,0.0,0.0
