date,part_id,category,size,manufacturer,opening_stock,arrival_today,planned_usage,used_actual,unmet_usage,closing_stock,pending_inbound_before_order,order_qty_requested,order_qty_effective,lead_time_days,unit_price,monthly_discount,shipping_fee,region_fee,total_cost
2023-01-01,32,Capacitor,0402,samsung,5000,0,390,390,0,4610,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-02,32,Capacitor,0402,samsung,4610,0,842,842,0,3768,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-03,32,Capacitor,0402,samsung,3768,0,575,575,0,3193,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-04,32,Capacitor,0402,samsung,3193,3200,904,904,0,2289,0,3200,3200,1,12.0,0.0095,1901.8,760.72,40698.56
2023-01-05,32,Capacitor,0402,samsung,5489,0,842,842,0,4647,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-06,32,Capacitor,0402,samsung,4647,0,637,637,0,4010,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-07,32,Capacitor,0402,samsung,4010,0,452,452,0,3558,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-08,32,Capacitor,0402,samsung,3558,2900,719,719,0,2839,0,2900,2900,1,12.0,0.0095,1723.51,689.4,36883.07
2023-01-09,32,Capacitor,0402,samsung,5739,0,288,288,0,5451,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-10,32,Capacitor,0402,samsung,5451,0,924,924,0,4527,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-11,32,Capacitor,0402,samsung,4527,0,452,452,0,4075,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-12,32,Capacitor,0402,samsung,4075,0,205,205,0,3870,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-13,32,Capacitor,0402,samsung,3870,0,493,493,0,3377,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-14,32,Capacitor,0402,samsung,3377,0,329,329,0,3048,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-15,32,Capacitor,0402,samsung,3048,0,472,472,0,2576,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-16,32,Capacitor,0402,samsung,2576,0,205,205,0,2371,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-17,32,Capacitor,0402,samsung,2371,0,349,349,0,2022,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-18,32,Capacitor,0402,samsung,2022,1700,616,616,0,1406,0,1700,1700,1,12.0,0.0576,961.2,384.48,20569.77
2023-01-19,32,Capacitor,0402,samsung,3106,0,288,288,0,2818,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-20,32,Capacitor,0402,samsung,2818,0,329,329,0,2489,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-21,32,Capacitor,0402,samsung,2489,0,205,205,0,2284,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-22,32,Capacitor,0402,samsung,2284,0,205,205,0,2079,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-23,32,Capacitor,0402,samsung,2079,0,411,411,0,1668,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-24,32,Capacitor,0402,samsung,1668,1500,349,349,0,1319,0,1500,1500,1,12.0,0.0576,848.12,339.25,18149.79
2023-01-25,32,Capacitor,0402,samsung,2819,0,431,431,0,2388,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-26,32,Capacitor,0402,samsung,2388,0,493,493,0,1895,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-27,32,Capacitor,0402,samsung,1895,1800,575,575,0,1320,0,1800,1800,1,12.0,0.0576,1017.75,407.1,21779.75
2023-01-28,32,Capacitor,0402,samsung,3120,0,637,637,0,2483,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-29,32,Capacitor,0402,samsung,2483,2200,637,637,0,1846,0,2200,2200,1,12.0,0.0576,1243.91,497.56,26619.7
2023-01-30,32,Capacitor,0402,samsung,4046,0,431,431,0,3615,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-01-31,32,Capacitor,0402,samsung,3615,0,760,760,0,2855,0,0,0,1,12.0,0.0095,0.0,0.0,0.0
2023-02-01,32,Capacitor,0402,samsung,2855,2800,719,719,0,2136,0,2800,2800,1,12.0,0.1036,1505.88,602.35,32225.78
2023-02-02,32,Capacitor,0402,samsung,4936,0,534,534,0,4402,0,0,0,1,12.0,0.1036,0.0,0.0,0.0
2023-02-03,32,Capacitor,0402,samsung,4402,0,411,411,0,3991,0,0,0,1,12.0,0.1036,0.0,0.0,0.0
2023-02-04,32,Capacitor,0402,samsung,3991,0,431,431,0,3560,0,0,0,1,12.0,0.1036,0.0,0.0,0.0
2023-02-05,32,Capacitor,0402,samsung,3560,0,883,883,0,2677,0,0,0,1,12.0,0.1036,0.0,0.0,0.0
2023-02-06,32,Capacitor,0402,samsung,2677,2500,390,390,0,2287,0,2500,2500,1,12.0,0.1036,1344.53,537.81,28773.01
