date,part_id,category,size,manufacturer,opening_stock,arrival_today,planned_usage,used_actual,unmet_usage,closing_stock,pending_inbound_before_order,order_qty_requested,order_qty_effective,lead_time_days,unit_price,monthly_discount,shipping_fee,region_fee,total_cost
2023-01-01,125,Resistor,0402,murata,10000,0,455,455,0,9545,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-02,125,Resistor,0402,murata,9545,0,983,983,0,8562,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-03,125,Resistor,0402,murata,8562,0,671,671,0,7891,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-04,125,Resistor,0402,murata,7891,0,1055,1055,0,6836,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-05,125,Resistor,0402,murata,6836,0,983,983,0,5853,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-06,125,Resistor,0402,murata,5853,0,743,743,0,5110,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-07,125,Resistor,0402,murata,5110,0,527,527,0,4583,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-08,125,Resistor,0402,murata,4583,0,839,839,0,3744,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-09,125,Resistor,0402,murata,3744,0,336,336,0,3408,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-10,125,Resistor,0402,murata,3408,4100,1079,1079,0,2329,0,4100,4100,1,10.0,0.0095,2030.57,812.23,43454.19
2023-01-11,125,Resistor,0402,murata,6429,0,527,527,0,5902,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-12,125,Resistor,0402,murata,5902,0,240,240,0,5662,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-13,125,Resistor,0402,murata,5662,0,575,575,0,5087,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-14,125,Resistor,0402,murata,5087,0,383,383,0,4704,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-15,125,Resistor,0402,murata,4704,0,551,551,0,4153,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-16,125,Resistor,0402,murata,4153,0,240,240,0,3913,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-17,125,Resistor,0402,murata,3913,0,407,407,0,3506,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-18,125,Resistor,0402,murata,3506,0,719,719,0,2787,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-19,125,Resistor,0402,murata,2787,0,336,336,0,2451,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-20,125,Resistor,0402,murata,2451,0,383,383,0,2068,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-21,125,Resistor,0402,murata,2068,0,240,240,0,1828,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-22,125,Resistor,0402,murata,1828,0,240,240,0,1588,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-23,125,Resistor,0402,murata,1588,2100,479,479,0,1109,0,2100,2100,1,10.0,0.0095,1040.05,416.02,22257.02
2023-01-24,125,Resistor,0402,murata,3209,0,407,407,0,2802,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-25,125,Resistor,0402,murata,2802,0,503,503,0,2299,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-26,125,Resistor,0402,murata,2299,0,575,575,0,1724,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-27,125,Resistor,0402,murata,1724,2600,671,671,0,1053,0,2600,2600,1,10.0,0.0095,1287.68,515.07,27556.31
2023-01-28,125,Resistor,0402,murata,3653,0,743,743,0,2910,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-29,125,Resistor,0402,murata,2910,2600,743,743,0,2167,0,2600,2600,1,10.0,0.0095,1287.68,515.07,27556.31
2023-01-30,125,Resistor,0402,murata,4767,0,503,503,0,4264,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-01-31,125,Resistor,0402,murata,4264,0,887,887,0,3377,0,0,0,1,10.0,0.0095,0.0,0.0,0.0
2023-02-01,125,Resistor,0402,murata,3377,3200,839,839,0,2538,0,3200,3200,1,10.0,0.1036,1434.17,573.67,30691.21
2023-02-02,125,Resistor,0402,murata,5738,0,623,623,0,5115,0,0,0,1,10.0,0.1036,0.0,0.0,0.0
2023-02-03,125,Resistor,0402,murata,5115,0,479,479,0,4636,0,0,0,1,10.0,0.1036,0.0,0.0,0.0
2023-02-04,125,Resistor,0402,murata,4636,0,503,503,0,4133,0,0,0,1,10.0,0.1036,0.0,0.0,0.0
2023-02-05,125,Resistor,0402,murata,4133,0,1031,1031,0,3102,0,0,0,1,10.0,0.1036,0.0,0.0,0.0
2023-02-06,125,Resistor,0402,murata,3102,2900,455,455,0,2647,0,2900,2900,1,10.0,0.1409,1245.67,498.27,26657.38
2023-02-07,125,Resistor,0402,murata,5547,0,1055,1055,0,4492,0,0,0,1,10.0,0.1036,0.0,0.0,0.0
2023-02-08,125,Resistor,0402,murata,4492,0,1031,1031,0,3461,0,0,0,1,10.0,0.1036,0.0,0.0,0.0
2023-02-09,125,Resistor,0402,murata,3461,3900,983,983,0,2478,0,3900,3900,1,10.0,0.1409,1675.21,670.09,35849.58
2023-02-10,125,Resistor,0402,murata,6378,0,383,383,0,5995,0,0,0,1,10.0,0.1036,0.0,0.0,0.0
2023-02-11,125,Resistor,0402,murata,5995,0,983,983,0,5012,0,0,0,1,10.0,0.1036,0.0,0.0,0.0
